word,part_of_speech,speaking,writing,pronunciation,pronunciation_us,pronunciation_uk
assist,v,S3,W3,əˈsɪst,,
assistance,n,S3,W2,,əˈsɪstəns,əˈsɪst(ə)ns
assistant,n,S3,,,əˈsɪstənt,əˈsɪst(ə)nt
associate,v,S3,W2,,əˈsəʊsɪeɪt (strong)/əˈsəʊsɪeɪt (weak),əˈsəʊsɪət (strong)/əˈsəʊsɪət (weak)
association,n,S3,W1,,əˌsəʊʃɪˈeɪʃn,əsəʊʃɪˈeɪʃ(ə)n
assume,v,S2,W1,,əˈsuːm,əˈsjuːm
assumption,n,S2,W2,,əˈsʌmpʃn,əˈsʌm(p)ʃ(ə)n
assure,v,S2,W3,,əˈʃʊr,əˈʃʊə
at,prep,S1,W1,æt (strong)/ət (weak),,
atmosphere,n,S3,W2,,ˈætməsfɪr,ˈætməsfɪə
attach,v,S2,W2,əˈtætʃ,,
attack,n,S2,W2,əˈtæk,,
attack,v,S3,W2,əˈtæk,,
attempt,n,S2,W1,,əˈtempt,əˈtem(p)t
attempt,v,S2,W2,,əˈtempt,əˈtem(p)t
attend,v,S2,W2,əˈtend,,
attention,n,S2,W1,,əˈtenʃn,əˈtenʃ(ə)n
attitude,n,S2,W1,,ˈætɪtuːd,ˈætɪtjuːd
attorney,n,S2,W3,,əˈtɜːrnɪ,əˈtɜːnɪ
attract,v,S2,W2,əˈtrækt,,
attraction,n,,W3,,əˈtrækʃn,əˈtrækʃ(ə)n
attractive,adj,S2,W2,əˈtræktɪv,,
audience,n,S2,W2,ˈɔːdɪəns,,
aunt,n,S3,W3,,ænt,ɑːnt
author,n,,W2,,ˈɔːθər,ˈɔːθə
authority,n,,W1,,əˈθɔːrətɪ,ɔːˈθɒrɪtɪ
automatic,adj,S3,,,ˌɔːtəˈmætɪk,ɔːtəˈmætɪk
automatically,adv,S3,W3,ˌɔːtəˈmætɪklɪ,,
autumn,n,,W3,ˈɔːtəm,,
available,adj,S1,W1,,əˈveɪləbl,əˈveɪləb(ə)l
average,adj,S2,W2,,ˈævərɪdʒ,ˈæv(ə)rɪdʒ
average,n,S2,,,ˈævərɪdʒ,ˈæv(ə)rɪdʒ
avoid,v,S2,W1,əˈvɔɪd,,
awake,adj,S3,,əˈweɪk,,
award,n,S3,W2,,əˈwɔːrd,əˈwɔːd
award,v,,W3,,əˈwɔːrd,əˈwɔːd
aware,adj,S1,W1,,əˈwer,əˈweə
awareness,n,,W3,,əˈwernəs,əˈweənəs
away,adv,S1,W1,əˈweɪ,,
awful,adj,S1,,,ˈɔːfl,ˈɔːfʊl
awkward,adj,S3,,,ˈɔːkwərd,ˈɔːkwəd
baby,n,S1,W1,ˈbeɪbɪ,,
back,adv,S1,W1,bæk,,
back,n,S1,W1,bæk,,
back,v,S2,W3,bæk,,
back,adj,S2,W3,bæk,,
background,n,S2,W2,,ˈbækɡraʊnd,ˈbækɡræʊnd
backwards,adv,S3,,,ˈbækwərdz,ˈbækwədz
bacon,n,S3,,,ˈbeɪkən,ˈbeɪk(ə)n
bad,adj,S1,W1,bæd,,
badly,adv,S3,W3,ˈbædlɪ,,
bag,n,S1,W2,bæɡ,,
bake,v,S3,,beɪk,,
balance,n,S2,W2,,ˈbæləns,ˈbæl(ə)ns
balance,v,S3,,,ˈbæləns,ˈbæl(ə)ns
ball,n,S1,W2,bɔːl,,
ban,n,,W3,bæn,,
band,n,S2,W2,bænd,,
bang,v,S3,,bæŋ,,
bang,n,S3,,bæŋ,,
bank,n,S1,W1,bæŋk,,
bar,n,S1,W1,,bɑːr,bɑː
barrier,n,,W3,,ˈbærɪər,ˈbærɪə
base,v,S1,W1,beɪs,,
base,n,S2,W2,beɪs,,
baseball,n,S3,W2,ˈbeɪsbɔːl,,
basic,adj,S2,W1,ˈbeɪsɪk,,
basically,adv,S1,,ˈbeɪsɪklɪ,,
basis,n,S2,W1,ˈbeɪsɪs,,
basket,n,S3,,,ˈbæskɪt,ˈbɑːskɪt
bat,n,S3,,bæt,,
bath,n,S2,W3,,bæθ,bɑːθ
bathroom,n,S2,W3,,ˈbæθruːm,ˈbɑːθruːm
battery,n,S2,,,ˈbætərɪ,ˈbæt(ə)rɪ
battle,n,,W2,,ˈbætl,ˈbæt(ə)l
be,auxiliary,S1,W1,biː (strong)/bɪ (weak),,
be,v,S1,W1,biː (strong)/bɪ (weak),,
beach,n,S2,W2,biːtʃ,,
bean,n,S2,,biːn,,
bear,v,S2,W2,,ber,beə
beard,n,S3,,,bɪrd,bɪəd
beat,v,S2,W2,biːt,,
beat,n,S3,,biːt,,
beautiful,adj,S1,W2,,ˈbjuːtɪfl,ˈbjuːtɪfʊl
beauty,n,S3,W2,ˈbjuːtɪ,,
because,conj,S1,W1,,bɪˈkɔːz,bɪˈkəz
because,prep,S1,W1,,bɪˈkɔːz,bɪˈkəz
become,v,S1,W1,bɪˈkʌm,,
bed,n,S1,W1,bed,,
bedroom,n,S1,W2,ˈbedruːm,,
beef,n,S3,,biːf,,
beer,n,S2,W3,,bɪr,bɪə
before,adv,S1,W1,,bɪˈfɔːr,bɪˈfɔː
before,conj,S1,W1,,bɪˈfɔːr,bɪˈfɔː
before,prep,S1,W1,,bɪˈfɔːr,bɪˈfɔː
beforehand,adv,S3,,,bɪˈfɔːrhænd,bɪˈfɔːhænd
begin,v,S1,W1,bɪˈɡɪn,,
beginning,n,S1,W2,bɪˈɡɪnɪŋ,,
behalf,n,S3,W3,,bɪˈhæf,bɪˈhɑːf
behave,v,S3,W3,bɪˈheɪv,,
behaviour,n,S2,W1,,bɪˈheɪvjər,bɪˈheɪvjə
behind,adv/prep,S1,W1,bɪˈhaɪnd,,
being,n,S2,W3,ˈbiːɪŋ,,
belief,n,S3,W2,bɪˈliːf,,
believe,v,S1,W1,bɪˈliːv,,
bell,n,S2,W3,bel,,
belong,v,S2,W2,,bɪˈlɔːŋ,bɪˈlɒŋ
below,adv/prep,S2,W2,bɪˈləʊ,,
belt,n,S2,W3,belt,,
bench,n,S2,W3,,bentʃ,ben(t)ʃ
bend,v,S3,W3,bend,,
beneath,adv/prep,,W2,bɪˈniːθ,,
benefit,n,S2,W1,ˈbenɪfɪt,,
benefit,v,S2,W3,ˈbenɪfɪt,,
beside,prep,S3,W2,bɪˈsaɪd,,
best,adj,S1,W1,best,,
best,adv,S1,W2,best,,
bet,v,S1,,,bet,ˈbet
bet,n,S3,,,bet,ˈbet
better,adj,S1,W1,,ˈbetər,ˈbetə
better,adv,S1,W1,,ˈbetər,ˈbetə
between,adv/prep,S1,W1,bɪˈtwiːn,,
beyond,adv/prep,S2,W1,,bɪˈjɑːnd,bɪˈjɒnd
bicycle,n,,W3,,ˈbaɪsɪkl,ˈbaɪsɪk(ə)l
bid,n,,W3,bɪd,,
big,adj,S1,W1,bɪɡ,,
bike,n,S2,,baɪk,,
bill,n,S1,W1,bɪl,,
bin,n,S2,,bɪn,,
bird,n,S2,W2,,bɜːrd,bɜːd
birth,n,S2,W2,,bɜːrθ,bɜːθ
birthday,n,S1,W3,,ˈbɜːrθdeɪ,ˈbɜːθdeɪ
biscuit,n,S2,,ˈbɪskɪt,,
bit,adv/pron,S1,W1,bɪt,,
bit,n,S1,W1,bɪt,,
bite,v,S2,,baɪt,,
bite,n,S3,,baɪt,,
bitter,adj,S3,W3,,ˈbɪtər,ˈbɪtə
black,adj,S1,W1,blæk,,
blade,n,S3,,bleɪd,,
blame,v,S2,W3,bleɪm,,
blank,adj,S3,,blæŋk,,
bless,v,S3,,bles,,
blind,adj,S2,W3,blaɪnd,,
block,n,S2,W2,,blɑːk,blɒk
block,v,S3,,,blɑːk,blɒk
bloke,n,S2,,bləʊk,,
blonde,adj,S3,,,blɑːnd,blɒnd
blood,n,S2,W1,blʌd,,
blow,v,S2,W3,bləʊ,,
blow,n,S3,W3,bləʊ,,
blue,adj,S1,W2,bluː,,
